"Feature","Cocoa","Acid_Fruit","Acid_Acetic","Acid_Lactic","Bitterness","Astringency","Fruit_Berry","Fruit_Citrus","Fruit_Dark","Fruit_Yellow_Orange_Whiteflesh","Fruit_Tropical","Fruit_Dried","Fruit_Brown","Fruit_Overripe","Floral_Grassy_Greenvegetal_Herbal","Floral_Orangeblossom","Floral_Flowers","Wood_Lightwood","Wood_Darkwood","Spice_Savory_Umami","Nutty_Nutflesh","Nutty_Nutskins","Sweet_Whitesugar_brownedsugar_panela_caramel","Dirty_dusty","Musty","Over_fermented_rotten_fruit","Smoky"
"Acetobacter",0,4.86894683112662,4.77615636269539,6.98338184531791,5.12586679186988,0,5.71429406031761,6.180925209464,6.79136179018969,5.73762633990754,5.39308467837537,0,5.2102332101368,5.01245215228047,7.35413265042218,4.26429872851653,8.42036286848133,0,6.41827150342073,1.00050037531277,5.04119946196385,5.34162386958712,8.42036286848133,6.98338184531791,0,7.16512446091517,7.17102779403966
"Bacillus",0,5.85554804043755,0,0,5.39117837014971,0,5.08505152891622,6.28630159858698,6.60217201209308,5.43970367990082,5.15186105341013,0,4.9825594198502,4.85317648031978,6.39636477063551,6.14146021037314,8.11574570408547,6.31319268878651,5.92906764492337,0,5.47264974175305,5.63133783227745,8.11574570408547,0,0,7.37920617649013,6.04286460771868
"Brenneria",0,4.84939987940399,2.07244690058882,4.92056349983479,5.36630648864989,1.00050037531277,5.72454153493342,3.50889908202346,4.83288107129785,6.33061346221095,4.89524011155184,0,4.63828063250057,6.40499245987093,5.71510586166587,1.03224060454489,4.34785268155661,5.72109762520575,5.8418802359614,1.92592994438724e-37,5.29515319577798,0,4.34785268155661,4.92056349983479,4.10690215956999,4.74905463388283,4.49954891090858
"Enterobacter",1.41562990079754,6.13338908325863,3.10638287549007,4.93763606888772,5.80290681403861,0,6.24346514207636,0,5.6972718941083,0,4.8122300405274,1.00050037531277,5.01592923403295,5.72800316216571,5.48207757333394,1.60168729757424,4.21612872979324,5.85249276574123,5.12140474811576,1.00050037531277,6.80771562212375,4.76969636783621,4.21612872979324,4.93763606888772,5.40674461505401,5.00792580556774,4.02618892748605
"Escherichia",0,5.14668011005709,2.73514010876964,4.86366562475505,5.86429792536283,0,5.06808891340082,4.26553614699595,5.63291559311941,5.48397895819911,4.96349568151031,1.40980462219091,5.7767043238836,6.00707994614134,0,1.56228027070276,4.83524982821888,4.92269734011984,5.28517686733859,0,5.86331009734222,5.15650066933208,4.83524982821888,4.86366562475505,5.34413844701199,4.54005305730681,5.80867792094265
"Gluconobacter",9.21033468684687,5.21617656769262,8.09888691387872,4.79396633531351,3.89935301431672,10.2984592966821,5.48307483473203,5.94519776751938,4.48147224037209,4.43756904886992,5.43907989611127,9.72075261760547,5.12752543679036,0,0,9.44483369226795,4.48009711656227,4.65365694533357,5.10720899890494,9.75908360880937,-1.11022302462516e-20,5.46584962739689,4.48009711656227,4.79396633531351,5.44361285457739,4.52158685460053,4.9597516605575
"Klebsiella",1.00050037531277,5.32975409077417,2.15968469695394,4.87931523045761,5.27449949374549,0,0,3.81121742424268,5.14325987951524,5.90967419047256,5.83425417030631,0,4.94741084235853,6.21996661948507,0,1.65386379054496,5.02218175474878,0,5.69275164970535,3.85185988877447e-37,4.88575953903496,0,5.02218175474878,4.87931523045761,5.95455824283942,4.79468085991778,5.1050773439812
"Komagataeibacter",9.84378914147964,4.78919405627074,0,0,4.24658387385846,9.95340317686102,0,5.57656547073889,2.56790659251631e-37,1.30303727554936,2.66217537971634,0,1.87920780000416,3.0686191042567,7.14059024575105,10.3108315486744,2.73487983815237,2.91716002406865,0.979478075571002,0,5.70669653336583,0.0724175928832148,2.73487983815237,0,0,0,0
"Kozakia",0,3.89275781354733,2.33409875165423,4.32505567528369,5.09766611025258,0,5.24118484889589,3.59510971002418,0,5.23579057275387,4.52078026372608,0,5.34587289287773,5.19147313621625,5.06785450564615,2.24989839985364,4.66982200751922,4.97176570694225,5.9958777316147,0,6.41243401258309,6.33178675836905,4.66982200751922,4.32505567528369,4.92135213442893,5.80774784240843,5.84366454330696
"Lactobacillus",0,5.79985710949849,4.58199312834242,6.9099646505889,5.74802893939212,0,5.18476580155621,6.18474711568194,5.70380278152154,4.5993943240418,5.0649447848542,0,5.5199815818519,4.51085858658792,6.44067645763997,4.90012167261463,7.83934635378969,0,4.97896809668314,0,5.70084780022235,5.38871499672573,7.83934635378969,6.9099646505889,0,6.77039409977452,6.36853092417418
"Pantoea",0,5.09828128402548,7.2583461217635,4.48419495509538,4.08540071491442,10.3840537107498,5.26404238685954,6.14152622532558,4.66887193255671,4.97338228880249,5.52960954396815,0,5.34026811030892,5.06366898048216,0,9.22659744200915,5.42177615283239,4.3603513553658,4.7498813903165,9.18522573793405,1.6049416203227e-37,5.97019395824552,5.42177615283239,4.48419495509538,0,5.13906489695218,5.09560993316781
"Pasteurella",0,5.58091687384994,2.16864042061199,4.8113897449186,5.53703050659989,0,0,4.30352452854243,0,0,4.51215879927226,0,5.69794745368169,6.14042644302509,5.19758023529214,2.22779666197426,4.16730620704854,0,5.41644198641656,0,5.56756387915635,5.42074139497884,4.16730620704854,4.8113897449186,4.70026452758511,4.79235967550516,4.81548411914343
"Pectobacterium",0,5.98324670942655,7.37798573628909,4.75832950967815,5.24869325135721,9.78969708289268,4.69936418247945,5.95698762047315,4.85675366606827,5.28441334682751,5.69722200795361,9.58402826310529,6.27774880918621,5.54741005595316,1.00050037531277,9.04368106447075,4.6322443415636,4.9343867615847,5.18153294066825,9.53846296899662,3.85185988877447e-38,5.83201955257525,4.6322443415636,4.75832950967815,4.26893624365678,4.37859202370238,5.50470719055176
"Saccharomyces",0,5.32434373741888,6.86064815368597,4.5097201790102,3.34283063684128,8.71014041862967,5.603175894214,5.57898601196535,4.94593644389698,0,5.53592156608149,0,6.16500358828382,4.39149792221802,0,9.31153832022368,4.57372494336609,4.17427244031325,4.54538831669748,9.44191586973768,0,4.95583778894312,4.57372494336609,4.5097201790102,0,4.89031584979406,6.2524061826663
"Salmonella",0,5.47471363568522,2.19940496736452,5.43275649781205,5.30657605794148,0,5.098224469955,3.2980692639266,5.10183158885569,5.19394758605042,5.39599193109259,0,4.85726794889203,0,5.76328003967481,1.62962684578612,4.60112584282943,5.25810735333384,5.23548007049354,0,6.18953910065877,5.0592062758687,4.60112584282943,5.43275649781205,3.96330839327957,5.14536012249883,4.3454435621417
"Tatumella",0,4.33860542451727,3.4439534887641,4.83795475085887,5.81051358414881,1.00050037531277,5.79798966310813,0,4.64589840010643,5.51045977248793,4.44326542006539,0,5.5413928667322,6.03357754655114,5.55998272825552,2.28147310733535,4.41079470366343,5.11044306302466,0,0,0,5.59516066924788,4.41079470366343,4.83795475085887,5.65278088702307,5.65321816968505,4.03670757983532
"Torulaspora",0,5.59335467047049,2.68827406113231,5.10915308540829,5.44870843211744,0,5.09159612809091,2.63475336464041,5.99869573676489,0,5.66349264234198,0,5.08538829229006,5.82072114502063,5.3800032037555,0.792654877490502,4.30420418582379,5.44385448126184,0,0,5.85885547545505,5.89625083239378,4.30420418582379,5.10915308540829,4.71486678155518,5.97200878211617,5.40565201911181
