"Feature","Cocoa","Acid_Fruit","Acid_Acetic","Acid_Lactic","Bitterness","Astringency","Fruit_Berry","Fruit_Citrus","Fruit_Dark","Fruit_Yellow_Orange_Whiteflesh","Fruit_Tropical","Fruit_Dried","Fruit_Brown","Fruit_Overripe","Floral_Grassy_Greenvegetal_Herbal","Floral_Orangeblossom","Floral_Flowers","Wood_Lightwood","Wood_Darkwood","Spice_Savory_Umami","Nutty_Nutflesh","Nutty_Nutskins","Sweet_Whitesugar_brownedsugar_panela_caramel","Dirty_dusty","Musty","Over_fermented_rotten_fruit","Smoky"
"Acetobacter",1.00050037531277,3.60974164771231,2.62196782670707,0,5.93121172459493,0,-0.668597542061434,0,-1.92592994438724e-37,1.527973108047,3.58141965568815,1.91587229316717,0.717845173487701,0,10.3400512534175,0.0838090635122347,2.7961083737964,-0.204793201861111,1.30833625744489,0,12.2289825030819,5.00237667691686,2.7961083737964,0,0,0,1.38024979347752e-37
"Bacillus",9.82774828146941,0,8.67603451699683,5.67467734901149,4.11730591295848,8.41094356678248,7.43214348676956,7.38236149911059,6.85683781942066,0,6.95740505686481,9.84561257503054,6.06960307668083,6.71708179193642,0,8.65462456673389,6.0262632930172,5.03936292631351,0,9.66770463704774,-8.66668474974256e-38,5.0932022314492,6.0262632930172,5.67467734901149,0,6.26761165288441,0
"Brenneria",0,0,3.57975886922435,1.00050037531277,4.92041959078548,0,0,3.89953816020411,-4.49383653690355e-37,5.71605371244907,3.13227032186769,1.00050037531277,1.21036204419345,3.92686005031138,8.87698623811705,2.45069991987887,3.26804030063221,0,0,1.00050037531277,8.1986164001845,3.99382329873438,3.26804030063221,1.00050037531277,3.85185988877447e-37,0,1.47654629069688e-37
"Enterobacter",0,5.9663247698757,4.0563218460329,5.74613431760144,4.73279876773308,0,5.52300449028316,5.21547342770682,6.29657451767657,6.1652392677094,4.81212486907753,1.00050037531277,5.21484183960921,5.83540548674209,0,3.85859821049262,6.16047541169012,6.35153347042105,5.90689606596837,0,6.41976648129079e-38,6.52904221812974,6.16047541169012,5.74613431760144,5.99464987610797,5.35196554023613,5.94010346927871
"Escherichia",0,6.74683694760758,3.43027989122397,6.30545834692643,4.94386838051818,0,5.39701451634423,4.60094240467314,6.65949259235189,5.80414330372453,5.2046653282512,0,5.7798427485162,4.58255155437451,-1.54074395550979e-37,3.69062735092217,5.74629879570436,6.36299055911592,6.92498456299115,0,-3.85185988877447e-38,5.68960475550037,5.74629879570436,6.30545834692643,6.4691669059697,6.81224752721564,6.11235425347996
"Gluconobacter",0,0,2.55069162718461,5.05060322847352,4.39854365693219,0,5.83140168371024,4.20840240979993,5.48760524038001,5.81380744347927,5.50212143456663,1.6056331657874,5.35552673451324,0,0,2.607555251,6.33656123777346,5.99620486083268,0,0,1.92592994438724e-37,6.20247932230472,6.33656123777346,5.05060322847352,0,6.37298617155321,0
"Klebsiella",0,5.46453224800691,3.81545464299911,5.95383348088855,4.19163257523024,0,6.15004559673522,0,5.1598186588096,5.89344888465844,6.21558779237825,0,6.77923440007845,5.25699630391568,1.00050037531277,3.32971218614166,6.13780474925515,6.26524011346376,6.17705289516714,0,2.88889491658085e-37,6.1781725394076,6.13780474925515,5.95383348088855,6.59769752916323,5.68189010745062,5.39337161550148
"Komagataeibacter",10.5533970220797,6.04881686715809,8.31634750032254,5.90918811807978,5.35268783465725,0,6.92533845498758,7.24111847628587,5.20369182888855,5.29352283321336,7.43802524488862,9.74044385839465,6.29983804713362,6.86003677904943,0,9.08653697472088,6.36268972181006,4.46650862770688,6.58303700734123,0,-6.41976648129079e-38,6.75868188722873,6.36268972181006,5.90918811807978,4.82798418201695,6.65884045029218,5.29299852308299
"Kozakia",0,3.75495316328212,2.63527567803713,0,5.53539852855361,0,1.13254928256625,2.96670113580513,4.49383653690355e-37,3.04062936391232,3.83401550119108,0,-0.805212718284242,5.69310039174221,0,2.23687270385892,2.73504482296537,1.60170505438404,1.27339733085024,0,12.4509199419506,4.76973456929591,2.73504482296537,0,0,0,1.00050037531277
"Lactobacillus",0,4.1578426335151,3.84030595129055,0,5.57559857721464,0,3.09290350645286,2.94466155539301,2.4395112628905e-37,0,5.76953460282282,0,0.527669990836931,4.07408430503051,0,3.07418414519942,4.8438803379997,1.47985137601224,4.44207083714082,1.00050037531277,7.8493976833521,4.59005016058248,4.8438803379997,0,0,0,2.66420308973568e-37
