"Feature","Cocoa","Acid_Fruit","Acid_Acetic","Acid_Lactic","Bitterness","Astringency","Fruit_Berry","Fruit_Citrus","Fruit_Dark","Fruit_Yellow_Orange_Whiteflesh","Fruit_Tropical","Fruit_Dried","Fruit_Brown","Fruit_Overripe","Floral_Grassy_Greenvegetal_Herbal","Floral_Orangeblossom","Floral_Flowers","Wood_Lightwood","Wood_Darkwood","Spice_Savory_Umami","Nutty_Nutflesh","Nutty_Nutskins","Sweet_Whitesugar_brownedsugar_panela_caramel","Dirty_dusty","Musty","Over_fermented_rotten_fruit","Smoky"
"Acetobacter",5.08326892387572,6.98910267481997,6.47829719321281,7.77339504384438,4.81701999050833,5.81753604217115,7.32072346564745,7.00825081904704,0,0,7.08589637801964,5.74639918784809,7.3650316437141,6.55205475740398,0,5.85853239978255,7.43131289020122,6.34143155537823,7.30012708175742,4.72393220150569,1.6049416203227e-38,7.25398451522589,7.43131289020122,7.77339504384438,8.92578019664436,6.30737005773201,0
"Bacillus",0,6.9937394015236,4.08840117710487,6.29013176612463,6.51803642413835,0,5.1419958293384,4.64129584654691,5.90435599009855,6.41166152099148,6.59273012398937,0,6.53776829218305,4.60898634797568,5.6286841126137,4.54159252994655,7.38086012039138,0,6.6189630234879,0,6.67593333302788,6.74065269579689,7.38086012039138,6.29013176612463,7.29572678004275,5.02577799026949,6.53156265224062
"Brenneria",5.33900961338419,0,6.18302362698917,6.26731613873409,4.66324150949898,4.74424710530081,7.56811296799769,5.23181846710404,5.27473528057358,4.24390986583215,6.79982421164065,5.70718903774754,7.0486515255282,5.37645924426356,1.00050037531277,5.76668472346774,7.59218699105639,5.53618022550698,6.24218682350278,4.85226029222981,1.28395329625816e-37,0,7.59218699105639,6.26731613873409,6.90715841307813,6.00455691024365,7.23231808856017
"Enterobacter",6.01331485109613,4.0903747026152,6.30277999649226,0,4.70069727138132,5.90970144697642,1.16352810073156,4.58478198239243,-1.92592994438724e-37,1.18842558181576,3.36359775439398,5.80493188113096,1.13189131241907,2.04122185539691,7.39500519918488,5.74124830860292,1.60040050307304,3.4285930438421,2.1141213841082,6.19242648556995,6.04848784546247,1.82019575745597,1.60040050307304,0,1.00050037531277,0,-6.41976648129079e-38
"Escherichia",6.3395774798345,1.48742421752049,6.17050702062338,0,4.35464755106632,0,0.934515818187439,4.7001422320797,5.77778983316171e-37,1.29952297970078,2.73868295833024,6.08836433088826,1.89774241442691,3.19922195838578,7.7142427135261,6.05332430085224,3.19999114299829,1.30847008977768,-0.402705935585851,5.36236405172642,6.47309710347099,2.29385130751511,3.19999114299829,0,0,0,2.77555756156289e-20
"Gluconobacter",5.82589566381841,6.04866523401413,5.36557710088925,7.54516753614542,4.35786391518543,6.01618729362592,6.31472509600065,5.64558376536177,6.50149403985448,5.03490872018381,0,0,6.49680810128884,5.26361131876664,0,5.21102357687997,8.24686753697446,5.87360387622861,6.60088478133813,5.38647873587221,6.41976648129079e-38,6.61493395239665,8.24686753697446,7.54516753614542,6.40047114844039,5.0200908614964,7.00842759007964
"Klebsiella",5.08438361755823,3.51609691089476,5.53834329584502,0,4.09573756499847,5.12478418176376,-1.00050037531277,5.24918556648655,-5.77778983316171e-37,4.33634339194946,2.78218032125476,0,0.983713243930307,3.55874739082731,7.74064909039071,5.66420958498112,0.865487062908683,1.73900035244972,2.62823513243981,5.46381024916727,6.92282681784439,2.13873409566193,0.865487062908683,0,1.00050037531277,-1.54074395550979e-37,0
"Komagataeibacter",4.91156916198868,7.06785738143527,6.09172120749818,6.38787275523358,4.22606721935282,6.26958358060623,7.22397362813413,6.32011723557794,6.60757733979393,5.71044610116767,6.25001078537956,5.91536293715214,0,5.77903275690345,0,6.91326107501501,6.43541692856593,5.34504468479122,8.00337406328856,6.35907876383825,6.41976648129079e-38,7.27339997304592,6.43541692856593,6.38787275523358,7.03345972933428,5.70928522705865,8.21620148821621
"Kozakia",6.21904632892175,3.12475288588277,5.19450535310666,0,3.80429348446523,5.33445892170419,0.806273729851307,4.36371077548867,-4.75062719615518e-37,0.592577323227109,2.70337061908867,5.68148217807191,2.05061780361236,2.83559242241475,6.26535785650927,5.76190724647332,0,1.74446178747233,1.62495869440592,5.51605172024867,0,2.83171708187855,0,0,0,0,1.28395329625816e-37
"Lactobacillus",5.80222704648085,6.46842847820307,6.40251690176024,6.66759087954782,4.54997357055671,4.60713719648386,7.35536646561216,6.8789840717559,6.27762424211185,5.33517664827003,7.60914862312388,5.15271552187558,6.70834949087342,5.69649815152642,1.00050037531277,5.80946295427037,0,6.34326752268895,7.28553995691557,4.7204560007681,6.41976648129079e-38,6.72412814008704,0,6.66759087954782,7.90022190333598,6.34645897170856,7.20356639079177
