"Feature","Cocoa","Acid_Fruit","Acid_Acetic","Acid_Lactic","Bitterness","Astringency","Fruit_Berry","Fruit_Citrus","Fruit_Dark","Fruit_Yellow_Orange_Whiteflesh","Fruit_Tropical","Fruit_Dried","Fruit_Brown","Fruit_Overripe","Floral_Grassy_Greenvegetal_Herbal","Floral_Orangeblossom","Floral_Flowers","Wood_Lightwood","Wood_Darkwood","Spice_Savory_Umami","Nutty_Nutflesh","Nutty_Nutskins","Sweet_Whitesugar_brownedsugar_panela_caramel","Dirty_dusty","Musty","Over_fermented_rotten_fruit","Smoky"
"Acetobacter",6.88642111742941,8.49304695351181,7.17382766249143,8.84006989717707,6.63858641595182,8.65850359817132,7.82609364156824,6.82838648491003,8.66449259358509,10.6672025246341,7.85595197525195,8.42648385897965,9.87640687500451,8.57090878283221,1.00050037531277,7.27207960873662,8.4756506188517,9.35578966135249,7.98100673732189,7.6420740976385,2.15062177123241e-37,9.23209592929443,8.4756506188517,8.84006989717707,7.99235623993897,0,7.838184561614
"Bacillus",0,0,5.71557209373068,8.60850630875069,6.94977082229517,0,9.03053258638376,6.64535855276808,7.82618949200869,6.71959558689132,0,0,8.8798017463665,7.49507062716612,0,7.56375895534183,0,8.29001019121777,9.43876838065303,0,1.00050037531277,9.07824654569584,0,8.60850630875069,9.89280307072811,9.30867813991543,10.3296629904977
"Enterobacter",1.40980462219091,0,2.32300363441336,0,6.09069568803307,0,1.35255761055988,2.07688809039387,9.62964972193618e-37,1.38668298683921,0,1.00050037531277,1.00534335960597,5.50653862925662,13.0252773083956,1.38510709657583,2.63019185467013,3.41815841847219,0.0787487826906166,0,12.3214682704462,3.30768505383607,2.63019185467013,0,0,1.00050037531277,2.08642410641951e-37
"Escherichia",1.00050037531277,3.18407028924535,2.9203208323387,1.40695434046086,0,0,2.42146828411544,1.19403567720874,-1.28395329625816e-37,4.33463501037868,3.0313525223832,0,0.953838507396068,5.79126976694638,0,1.27998371097297,2.77190522744023,3.76021716647139,5.53344010485891,0,0,2.88826506351745,2.77190522744023,1.40695434046086,3.85185988877447e-37,0,1.00050037531277
"Gluconobacter",0,3.79869175167668,7.49568310848817,1.41562990079754,3.38628567704587,7.97514788477986,1.46764245894859,0,2.95309258139376e-37,1.79529639343433,4.70471708354382,7.49368190264016,2.48770939939937,4.52140944395905,1.92592994438724e-37,0,0,4.75581932030467,3.51845948449253,7.02321174293714,1.38777878078145e-20,2.35099415347001,0,1.41562990079754,1.54074395550979e-37,0,3.6913657267422e-37
"Klebsiella",1.38808583077671,0,5.77415661561362,9.09021849608221,6.65239688882359,1.00050037531277,9.4983675169663,0,8.41514445880072,7.24722492868324,8.39589035681362,0,8.45363180612464,6.66726134171624,0,7.91209634427281,10.0497106276276,9.45725514338269,9.4522842162251,1.00050037531277,3.20988324064539e-38,8.80272589104232,10.0497106276276,9.09021849608221,9.76083191065086,7.78846857738429,10.0888821825806
"Komagataeibacter",0,9.7170664244935,7.75143907265985,9.35445899812703,0,8.29496385810908,9.60414369307101,6.716311283478,9.71000964461813,10.4707349248863,7.6884220130909,8.07559175081655,8.98961730042363,8.63868462155209,1.92592994438724e-37,6.5836831842923,8.80637961738161,9.50127751742921,9.48091493352489,8.2989540627601,-1.6049416203227e-38,8.90220397038304,8.80637961738161,9.35445899812703,0,9.37501835197491,8.29278111180446
"Kozakia",8.26193581544183,4.22321304964692,8.06751657283065,1.3732817904574,4.52156207164184,7.81190564683451,1.49365372549746,6.88360501288251,5.39260384428426e-37,1.45741879747577,5.70398403453222,7.12374219358549,1.58613312636962,4.10108205938038,0,8.6174225914808,0,4.8693842161888,3.53589974518962,7.65659179885696,0,3.6809898532861,0,1.3732817904574,3.85185988877447e-37,0,1.44444745829043e-37
"Lactobacillus",0,8.6836752470097,6.24148078596871,8.9126640694818,7.36693788310577,9.28731193817771,9.241023177353,6.28672994312078,9.96080764889324,9.67744510456996,8.2423509535534,8.67388460328162,8.24709794517186,9.4654400316749,0,7.43675513763567,7.44632783102828,9.28546564168192,8.79936335809307,9.03900131546027,2.77555756156289e-20,8.97835597845542,7.44632783102828,8.9126640694818,0,8.4516920958468,7.85313602625185
"Saccharomyces",0,8.10553309675667,5.75203929181588,8.8948337968916,6.98644282354698,0,8.15085954295684,7.09770210048448,8.80006639080104,7.32139155195926,8.24163683069187,1.00050037531277,8.69184323379329,6.78168054439427,0,0,0,8.69893292613134,8.49480591784726,0,-1.50864512310333e-37,8.15974229714258,0,8.8948337968916,10.814594335419,9.45338796635655,9.43357707348964
"Salmonella",0,0,2.08307637026769,1.99677512438698,7.17977954624772,1.00050037531277,0.538933578397968,1.53631010285699,2.56790659251632e-37,1.78147810409916,0,0,1.42489831451238,5.4127224471983,12.957685565211,3.4150516208647,2.38227583377139,3.65692721286101,4.78847155358938,0,0,3.09128188372882,2.38227583377139,1.99677512438698,0,1.00050037531277,1.00050037531277
"Tatumella",7.65819837049503,3.461085021605,8.28608227754288,2.17303811795356,4.2917539850436,7.86167622373935,1.06030416026722,5.2992450140883,-4.49383653690355e-37,1.04413616228087,4.04451500511841,8.15513326065968,2.162755738429,3.64752520286749,0,8.69231682897328,3.32571431641473,3.79233842201284,3.68152086572018,8.615103960334,-1.11022302462516e-20,1.83677318683964,3.32571431641473,2.17303811795356,0,1.00050037531277,2.77555756156289e-20
"Torulaspora",8.16910728206163,3.80775606669624,7.72907154353894,1.34284989575028,4.35898717160138,7.95600991329732,3.54997124573833,0,1.92592994438724e-37,1.56072947420978,5.02616417308824,8.11059942435786,1.62279644113672,4.41158406798835,0,9.58744601719513,3.12556344963924,3.30227583496777,3.31623692427533,7.65944986000891,1.99012760920014e-37,2.29802086300595,3.12556344963924,1.34284989575028,0,1.00050037531277,2.77555756156289e-20
