	M_CIS__45__ACONITATE_c	M_SUCROSE_c	M_OXALO__45__SUCCINATE_c	M_PHENYLACETALDEHYDE_c	M_HYDRPHENYLAC__45__CPD_c	M_Glucopyranose_c	M_OH_c	M_L__45__ORNITHINE_c	M_CPD__45__15056_c	M_METOH_c	M_IMINOASPARTATE_c	M_CPD__45__16015_c	M_1__45__KESTOTRIOSE_c	M_CPD__45__233_c	M_VAL_c	M_LEU_c	M_CYS_c	M_HCO3_c	M_NEOKESTOSE_c	M_HYDROGEN__45__PEROXIDE_c	M_D__45__GLT_c	M_L__45__ALLO__45__THREONINE_c	M_TRP_c	M_PUTRESCINE_c	M_WATER_c	M_PROTON_e	M_2__45__OXOBUTANOATE_c	M_AMMONIUM_c	M_N__45__FORMIMINO__45__L__45__GLUTAMATE_c	M_CPD__45__302_c	M_L__45__ASPARTATE_c	M_2__45__AMINOACRYLATE_c	M_CPD__45__24843_c	M_CPD__45__21707_c	M_OXALACETIC_ACID_c	M_CPD__45__8989_c	M_P__45__HYDROXY__45__PHENYLPYRUVATE_c	M_CIT_c	M_CPD__45__9550_c	M_THR_c	M_2__45__KETOGLUTARATE_c	M_INDOLE_ACETALDEHYDE_c	M_Cellodextrins_c	M_UREA_c	M_PHENYL__45__PYRUVATE_c	M_2__45__KETO__45__ISOVALERATE_c	M_CPD__45__15016_c	M_CPD__45__12279_c	M_H2CO3_c	M_ACETALD_c	M_CO3_c	M_Fructofuranose_c	M_PECTATE_c	M_3__45__MERCAPTO__45__PYRUVATE_c	M_BIFURCOSE_c	M_ISOGLUTAMINE_c	M_CPD__45__600_c	M_L__45__ALPHA__45__ALANINE_c	M_CPD__45__12377_c	M_CARBON__45__DIOXIDE_c	M_PYRUVATE_c	M_PROTON_c	M_FORMYL__45__ISOGLUTAMINE_c	M_PHE_c	M_THREO__45__DS__45__ISO__45__CITRATE_c	M_GLYOX_c	M_OXYGEN__45__MOLECULE_c	M_CPD__45__24844_c	M_SUPER__45__OXIDE_c	M_UROCANATE_c	M_2__45__ACETO__45__2__45__HYDROXY__45__BUTYRATE_c	M_INDOLE_PYRUVATE_c	M_2__45__ACETO__45__LACTATE_c	M_TYR_c	M_6__45__KESTOSE_c	M_4__45__IMIDAZOLONE__45__5__45__PROPIONATE_c	M_CPD__45__7000_c	M_D__45__LACTATE_c	M_AMMONIA_c	M_BETA__45__D__45__FRUCTOSE_c	M_CPD__45__68_c	M_D__45__ALANINE_c	M_ENOL__45__PHENYLPYRUVATE_c	M_CPD__45__16013_c	M_GLT_c	M_FORMALDEHYDE_c	M_L__45__Methionine__45__sulfoxides_c	M_INDOLE_ACETATE_AUXIN_c	M_FE__43__3_c	M_GLY_c	M_FORMATE_c	M_2K__45__4CH3__45__PENTANOATE_c	M_CPD__45__8990_c	M_NYSTOSE_c	M_CPD__45__10353_c	M_CPD__45__12150_c	M_L__45__GLUTAMATE_GAMMA__45__SEMIALDEHYDE_c	M_GLUTAMIDE_c	M_GLN_c	M_CPD__45__217_c	M_ASN_c	M_L__45__DELTA1__45__PYRROLINE_5__45__CARBOXYLATE_c	M_CPD__45__3633_c	M_HMP_c	M_CPD__45__846_c	M_CPD__45__7046_c	M_HS_c	M_THZ_c	M_PRO_c	M_CPD__45__24335_c	M_FUM_c	M_4__45__AMINO__45__BUTYRATE_c	M_ACET_c	M_SER_c	M_MAL_c	M_D__45__SERINE_c	M_L__45__LACTATE_c	M_CPD8J2__45__27_c	M_N__45__FORMYLKYNURENINE_c	M_CPD__45__14736_c	M_ANTHRANILATE_c	M_CELLOBIOSE_c	M_CPD__45__7671_c	M_HYDROGEN__45__MOLECULE_c	M_FORMAMIDE_c	M_AGMATHINE_c	M_CPD__45__824_c	M_CPD__45__597_c	M_D__45__THREONINE_c	M_CPD__45__12849_c	M_SUC_c	M_5__45__AMINO__45__2__45__OXOPENTANOATE_c	M_D__45__4__45__HYDROXY__45__2__45__KETO__45__GLUTARATE_c	M_2__45__KETO__45__GLUTARAMATE_c	M_5__45__KETO__45__4__45__DEOXY__45__D__45__GLUCARATE_c	M_B__45__ALANINE_c	M_CPD__45__654_c	M_MET_c	M_ETHYLENE__45__CMPD_c	M_4__45__OXALOMESACONATE_c	M_CPD__45__17461_c	M_CPD__45__7036_c	M_CPD__45__225_c	M_CPD__45__16522_c	M_CPD__45__219_c	M_CPD__45__1128_c	M_CPD__45__16500_c	M_CPD__45__10303_c	M_LYS_c	M_CPD__45__479_c	M_HOMOGENTISATE_c	M_4__45__OH__45__4__45__ACETYL__45__2__45__OXOGLUTARATE_c	M_CPD__45__656_c	M_Glutamates_c	M_PTEROATE_c	M_CPD__45__12738_c	M_CPD__45__17141_c	M_OH__45__PYR_c	M_MALONATE__45__S__45__ALD_c	M_CPD__45__16876_c	M_TARTRONATE__45__S__45__ALD_c	M_CPD__45__825_c	M_CPD__45__11855_c	M_CPD__45__187_c	M_CPD__45__11495_c	M_CADAVERINE_c	M_D__45__TARTRATE_c	M_L__45__CITRULLINE_c	M_CARBAMATE_c	M_ARG_c	M_CPD__45__1067_c	M_CPD__45__3736_c	M_CPD__45__6124_c	M_4__45__AMINO__45__BUTYRALDEHYDE_c	M_NA__43___e	M_CPD__45__318_c	M_L__45__DEHYDRO__45__ASCORBATE_c	M_O__45__SUCCINYL__45__L__45__HOMOSERINE_c	M_CPD__45__334_c	M_SUCC__45__S__45__ALD_c	M_CPD__45__12763_c	M_D__45__PROLINE_c	M_CPD__45__13914_c	M_ASCORBATE_c	M_L__45__CYSTATHIONINE_c	M_HOMO__45__CYS_c	M_CPD__45__13907_c	M_CPD__45__237_c	M_CPD__45__13910_c	M_INDOLE_c	M_THREO__45__3__45__HYDROXY__45__L__45__ASPARTATE_c	M_CPD__45__7031_c	M_METHYLBUT__45__CPD_c	M_2__45__KETO__45__3__45__METHYL__45__VALERATE_c	M_HIS_c	M_ETHANOL__45__AMINE_c	M_IMIDAZOLE__45__PYRUVATE_c	M_CPD__45__15382_c	M_CPD__45__15373_c	M_CPD__45__277_c	M_HISTAMINE_c	M_L__45__ARGININO__45__SUCCINATE_c	M_L__45__DOPACHROME_c	M_CPD__45__12380_c	M_CPD__45__20263_c	M_CPD__45__20260_c	M_CPD__45__15154_c	M_DOPAQUINONE_c	M_CPD__45__20264_c	M_DIHYDROXYINDOLE_c	M_L__45__DIHYDROXY__45__PHENYLALANINE_c	M_CPD__45__20262_c	M_CPD__45__20261_c	M_CPD__45__8652_c	M_1__45__KETO__45__2__45__METHYLVALERATE_c	M_CPD0__45__1942_c	M_CPD__45__17659_c	M_CPD__45__804_c	M_ILE_c	M_2__45__KETO__45__6__45__AMINO__45__CAPROATE_c	M_DELTA1__45__PIPERIDEINE__45__2__45__CARBOXYLATE_c	M_CPD__45__660_c	M_R__45__2__45__HYDROXYGLUTARATE_c	M_CPD__45__22667_c	M_5__45__AMINOPENTANOATE_c	M_CPD__45__12610_c	M_MN__43__3_c
bin_018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_015	1	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_004	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_024	1	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_197	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_134	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_084	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_169	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_148	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin_133	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
