"Sample_name","Population","Selection","Criollo","Nacional","Amelonado","Purús","Marañon","Curaray","Contamana","Guiana","Iquitos","Nanay"
"Yali_2","Antioquia","Colombia",0.463,7e-04,0.5273,0.0015,0.0016,9e-04,6e-04,0.0014,0.0014,0.0016
"Yali_7","Antioquia","Colombia",0.0086,0.001,0.4714,0.2253,0.0046,0.0061,0.0089,0.0059,0.0214,0.247
"Yali_4","Antioquia","Colombia",0.0095,0.4803,0.451,0.021,0.0124,0.0027,0.0017,0.0104,0.0038,0.0074
"Yali_5","Antioquia","Colombia",0.3401,0.0041,0.4093,0.0458,0.1184,0.0081,0.0429,0.0037,0.0194,0.0081
"Yali_1","Antioquia","Colombia",0.2216,0.0064,0.3903,0.0333,0.0029,0.003,0.0034,0.0029,0.1191,0.2171
"Yali_3","Antioquia","Colombia",0.1915,0.0013,0.3556,0.001,0.0185,0.0018,0.0023,0.0087,0.4169,0.0023
"Yali_6","Antioquia","Colombia",0.0907,8e-04,0.3446,0.0018,0.5522,0.0012,0.0011,0.0018,0.0027,0.0032
"C1-4","Huila","Colombia",0.2667,0.0022,0.5473,0.0037,0.004,0.0021,0.143,0.0057,0.0059,0.0194
"C1-5","Huila","Colombia",0.4811,6e-04,0.5089,0.0013,0.0018,9e-04,6e-04,0.0013,0.0011,0.0024
"C1-1","Huila","Colombia",0.2127,0.0016,0.3301,0.001,0.0152,0.0021,0.0021,0.0065,0.4261,0.0027
"C1-3","Huila","Colombia",0.1831,0.0023,0.3207,0.0051,0.0021,0.0028,0.4781,0.0014,0.0029,0.0015
"C1-2","Huila","Colombia",0.2795,0.0016,0.306,0.0031,0.0135,0.0037,0.1981,0.0044,0.0657,0.1245
"C2-12","Santander","Colombia",0.0902,0.0169,0.5701,0.0094,0.0236,0.1019,0.1658,0.0064,0.0067,0.0091
"C2-2","Santander","Colombia",0.473,7e-04,0.5176,0.0013,0.0016,0.001,6e-04,0.0013,0.0014,0.0016
"C2-10","Santander","Colombia",0.5253,6e-04,0.4663,0.001,0.0017,0.001,6e-04,0.001,0.0011,0.0014
"C2-7","Santander","Colombia",0.0076,0.0036,0.4126,0.0061,0.0015,0.0036,0.1855,0.0016,0.3716,0.0064
"C2-9","Santander","Colombia",0.0268,0.001,0.3762,0.0013,0.5353,0.0029,0.0032,0.0077,0.0348,0.0108
"C2-5","Santander","Colombia",0.094,0.0017,0.3609,0.0063,0.0059,0.0049,0.5147,0.0025,0.0061,0.003
"C2-3","Santander","Colombia",0.114,0.0011,0.3406,0.0011,0.5333,0.0017,0.001,0.0016,0.0023,0.0033
"C2-11","Santander","Colombia",0.2141,0.0016,0.3252,0.001,0.0155,0.0021,0.0022,0.0067,0.4288,0.0029
"C2-8","Santander","Colombia",0.1515,0.0022,0.2771,0.0022,0.0028,0.0024,0.5522,0.0022,0.0038,0.0034
"C2-6","Santander","Colombia",0.0187,0.0038,0.1395,0.0013,0.1371,0.0058,0.0935,0.003,0.5904,0.0069
"C2-1","Santander","Colombia",0.0188,0.0036,0.1378,0.0013,0.1396,0.0059,0.0932,0.0028,0.5904,0.0066
"C2-4","Santander","Colombia",0.1114,0.0075,0.0865,0.0303,0.0015,0.0045,0.1908,0.0011,0.562,0.0044
"134_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.2574,7e-04,0.7325,0.0021,0.0014,0.001,6e-04,9e-04,0.0021,0.0012
"164_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.2573,7e-04,0.7325,0.0022,0.0014,0.001,6e-04,9e-04,0.0021,0.0012
"154_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.2759,0.0011,0.7058,0.0015,0.0072,0.0016,0.0014,0.0025,0.0016,0.0015
"124_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.2759,0.0011,0.7054,0.0015,0.0076,0.0016,0.0014,0.0025,0.0016,0.0014
"119_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3135,6e-04,0.6769,0.0022,0.0019,0.0011,6e-04,0.0011,9e-04,0.0013
"149_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3133,6e-04,0.6769,0.0022,0.0019,0.001,6e-04,0.0011,0.001,0.0013
"169_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3129,7e-04,0.6733,7e-04,0.0043,0.0011,7e-04,0.0033,0.0013,0.0018
"139_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3124,7e-04,0.6733,7e-04,0.0045,0.0011,7e-04,0.0036,0.0012,0.0017
"160_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3451,6e-04,0.6439,0.0019,0.0017,7e-04,5e-04,0.0016,0.0022,0.0018
"130_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.345,6e-04,0.6439,0.0018,0.0017,6e-04,5e-04,0.0016,0.0022,0.0021
"171_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3779,6e-04,0.6133,0.0011,0.0017,9e-04,6e-04,0.0014,0.0012,0.0013
"141_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3782,6e-04,0.6131,0.0012,0.0017,9e-04,5e-04,0.0014,0.0013,0.0013
"138_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3867,6e-04,0.6034,0.0012,0.0025,0.0014,7e-04,0.0015,8e-04,0.0013
"168_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3866,6e-04,0.6034,0.0012,0.0027,0.0014,7e-04,0.0013,8e-04,0.0012
"148_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3841,9e-04,0.5983,0.0038,0.0052,0.0013,9e-04,0.0015,0.0013,0.0028
"118_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3846,9e-04,0.5979,0.0039,0.005,0.0013,9e-04,0.0015,0.0012,0.0028
"155_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3944,6e-04,0.5943,9e-04,0.0026,9e-04,7e-04,0.0015,0.0011,0.003
"125_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3941,6e-04,0.5943,0.001,0.0027,9e-04,7e-04,0.0016,0.001,0.003
"165_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4078,9e-04,0.581,0.0013,0.0023,0.0012,6e-04,0.0014,0.0011,0.0024
"135_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4076,9e-04,0.581,0.0014,0.0021,0.0012,6e-04,0.0014,0.0012,0.0025
"151_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4546,7e-04,0.5351,0.0022,0.0015,0.001,6e-04,9e-04,0.002,0.0015
"121_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4544,7e-04,0.535,0.0022,0.0014,0.001,6e-04,0.001,0.0019,0.0017
"117_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4659,7e-04,0.5246,7e-04,0.002,8e-04,5e-04,0.0025,7e-04,0.0016
"147_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4661,7e-04,0.5241,6e-04,0.0021,9e-04,5e-04,0.0027,7e-04,0.0017
"152_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4742,7e-04,0.516,0.0014,0.0018,9e-04,6e-04,0.0014,0.0014,0.0016
"122_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.474,7e-04,0.516,0.0014,0.0018,9e-04,6e-04,0.0013,0.0014,0.0018
"143_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4777,8e-04,0.5096,0.002,0.0029,0.0012,7e-04,0.0014,0.0014,0.0023
