"Id","Time","Rep","Grayscale","luminance","Blue","Green","Red"
"bean_0_R1","0hr","R1",186.575,191.178,164.977,188.7,206.011
"bean_0_R2","0hr","R2",177.477,182.012,155.6,179.202,197.594
"bean_0_R3","0hr","R3",162.66,165.819,138.13,157.769,192.144
"bean_0_R4","0hr","R4",194.28,197.472,177.289,194.361,211.208
"bean_0_R5","0hr","R5",173.352,176.92,152.254,172.203,195.556
"bean_0_R6","0hr","R6",164.02,168.939,130.902,159.785,201.359
"bean_0_R7","0hr","R7",181.221,185.735,156.421,181.007,206.199
"bean_0_R8","0hr","R8",180.236,183.903,158.551,178.977,203.228
"bean_24_R1","24hr","R1",150.718,154.328,125.629,146.987,179.614
"bean_24_R2","24hr","R2",140.671,143.9,117.524,136.883,167.749
"bean_24_R3","24hr","R3",174.13,178.199,149.263,172.259,200.908
"bean_24_R4","24hr","R4",140.701,145.164,111.994,137.821,172.216
"bean_24_R5","24hr","R5",153.976,159.135,120.442,150.222,191.352
"bean_24_R6","24hr","R6",149.869,153.603,117.838,142.165,189.705
"bean_24_R7","24hr","R7",150.15,155.483,115.859,146.533,188.141
"bean_24_R8","24hr","R8",145.765,148.989,123.649,142.673,171.021
"bean_24_R9","24hr","R9",176.73,181.523,144.9,172.857,212.444
"bean_24_R10","24hr","R10",158.075,162.134,135.714,157.879,180.606
"bean_24_R11","24hr","R11",152.816,155.348,124.334,143.228,190.936
"bean_48_R1","48hr","R1",173.773,178.149,145.76,170.927,204.651
"bean_48_R2","48hr","R2",160.191,165.74,127.244,158.239,195.093
"bean_48_R3","48hr","R3",167.615,172.164,140.733,166.074,196.077
"bean_48_R4","48hr","R4",184.215,189.357,158.499,185.511,208.613
"bean_48_R5","48hr","R5",157.626,161.762,128.823,153.414,190.659
"bean_48_R6","48hr","R6",191.358,196.526,164.182,191.836,218.041
"bean_48_R7","48hr","R7",153.589,160.326,113.54,151.156,196.109
"bean_48_R8","48hr","R8",125.438,128.587,96.707,117.887,161.715
"bean_72_R1","72hr","R1",99.253,105.143,54.058,90.547,153.197
"bean_72_R2","72hr","R2",140.642,144.54,106.331,132.035,183.597
"bean_72_R3","72hr","R3",116.916,122.375,77.778,110.617,162.389
"bean_72_R4","72hr","R4",133.605,139.7,90.258,126.821,183.754
"bean_72_R5","72hr","R5",129.972,136.912,82.858,123.728,183.339
"bean_72_R6","72hr","R6",122.554,128.759,78.979,116.006,172.685
"bean_72_R7","72hr","R7",110.849,116.301,70.656,103.869,158.033
"bean_72_R8","72hr","R8",115.396,119.068,82.164,106.682,157.381
"bean_72_R9","72hr","R9",128.613,134.906,83.123,121.106,181.645
"bean_96_R1","96hr","R1",128.497,134.596,88.387,123.815,173.295
"bean_96_R2","96hr","R2",156.595,161.775,122.982,152.943,193.849
"bean_96_R3","96hr","R3",151.426,158.833,107.952,149.126,197.242
"bean_96_R4","96hr","R4",139.463,145.148,99.724,133.588,185.093
"bean_96_R5","96hr","R5",129.486,135.98,83.753,122.589,182.124
"bean_96_R6","96hr","R6",138.947,147.988,83.326,134.452,199.123
"bean_96_R7","96hr","R7",132.152,138.113,87.877,124.334,184.265
"bean_96_R8","96hr","R8",160.067,166.633,117.356,155.359,207.491
"bean_96_R9","96hr","R9",113.127,116.237,74.231,98.869,166.262
"bean_120_R1","120hr","R1",122.112,125.732,78.209,106.405,181.719
"bean_120_R2","120hr","R2",141.605,147.048,91.724,128.431,204.635
"bean_120_R3","120hr","R3",111.807,113.225,75.055,93.019,167.385
"bean_120_R4","120hr","R4",136.094,140.548,90.44,122.183,195.647
"bean_120_R5","120hr","R5",125.635,131.108,76.56,113.061,187.269
"bean_120_R6","120hr","R6",127.784,132.089,77.451,110.387,195.514
"bean_120_R7","120hr","R7",140.563,148.264,81.064,129.087,211.523
"bean_120_R8","120hr","R8",135.048,139.674,86.837,120.112,198.188
"bean_144_R1","144hr","R1",88.744,90.131,47.085,66.745,152.369
"bean_144_R2","144hr","R2",101.957,105.336,56.246,84.334,165.234
"bean_144_R3","144hr","R3",99.84,103.021,53.193,80.915,165.366
"bean_144_R4","144hr","R4",99.806,103.257,54.607,82.67,162.131
"bean_144_R5","144hr","R5",119.112,121.044,74.959,97.395,185.037
"bean_144_R6","144hr","R6",105.602,107.927,61.261,84.961,170.707
"bean_144_R7","144hr","R7",122.459,126.43,71.969,103.942,191.431
"bean_144_R8","144hr","R8",122.872,127.462,72.133,106.219,190.233
"bean_144_R9","144hr","R9",115.657,117.968,70.194,94.543,182.199
"bean_168_R1","168hr","R1",104.498,106.884,67.728,89.079,156.682
"bean_168_R2","168hr","R2",108.412,111.735,64.508,91.62,169.12
"bean_168_R3","168hr","R3",110.32,114.583,65.353,96.188,169.397
"bean_168_R4","168hr","R4",101.457,105.985,53.464,86.291,164.591
"bean_168_R5","168hr","R5",106.844,112.085,55.356,91.94,173.208
"bean_168_R6","168hr","R6",119.497,124.074,74.371,106.341,177.77
"bean_168_R7","168hr","R7",107.73,112.115,60.809,92.766,169.606
"bean_168_R8","168hr","R8",98.002,101.06,59.048,83.533,151.408
"bean_168_R9","168hr","R9",99.995,104.081,54.563,84.916,160.494
