"Sample_name","Time","Rep","Cotyledon_pH","Testae_plup_pH","Temperature","Grayscale","Luminance","Blue","Green","Red"
"0_R1",0,"R1",6.2,3.8,24.85,175.5706667,179.6696667,152.9023333,175.2236667,198.583
"0_R2",0,"R2",6.2,3.8,24.45,177.2173333,181.1103333,153.4816667,175.4496667,202.7076667
"0_R3",0,"R3",6.1,3.7,24.45,180.7285,184.819,157.486,179.992,204.7135
"24_R1",24,"R1",6.2,3.9,24.7,155.173,158.809,130.8053333,152.043,182.757
"24_R2",24,"R2",6,3.6,25.05,148.182,152.634,116.758,143.4026667,184.4243333
"24_R3",24,"R3",5.8,3.6,25.3,156.7072,160.6954,128.8912,152.634,188.6296
"48_R1",48,"R1",6,3.6,27.5,167.193,172.0176667,137.9123333,165.08,198.607
"48_R2",48,"R2",6.1,3.6,28,177.733,182.5483333,150.5013333,176.9203333,205.771
"48_R3",48,"R3",6.3,3.6,28.1,139.5135,144.4565,105.1235,134.5215,178.912
"72_R1",72,"R1",6.3,4.2,33.35,118.937,124.0193333,79.389,111.0663333,166.3943333
"72_R2",72,"R2",6.3,4,34.75,128.7103333,135.1236667,84.03166667,122.185,179.926
"72_R3",72,"R3",6.3,4.2,36.15,118.286,123.425,78.64766667,110.5523333,165.6863333
"96_R1",96,"R1",4.7,3.9,49.35,145.506,151.7346667,106.4403333,141.9613333,188.1286667
"96_R2",96,"R2",4.8,4,38.55,135.9653333,143.0386667,88.93433333,130.2096667,188.78
"96_R3",96,"R3",4.6,4,42.9,135.1153333,140.3276667,93.15466667,126.1873333,186.006
"120_R1",120,"R1",4.6,4.4,47.9,125.1746667,128.6683333,81.66266667,109.285,184.5796667
"120_R2",120,"R2",4.5,4.4,46.7,129.8376667,134.5816667,81.48366667,115.2103333,192.81
"120_R3",120,"R3",4.6,4.4,46.75,137.8055,143.969,83.9505,124.5995,204.8555
"144_R1",144,"R1",4.1,4.3,47.8,96.847,99.496,52.17466667,77.33133333,160.9896667
"144_R2",144,"R2",4.3,4.3,48.3,108.1733333,110.7426667,63.609,88.342,172.625
"144_R3",144,"R3",4.3,4.3,48.4,120.3293333,123.9533333,71.432,101.568,187.9543333
"168_R1",168,"R1",4.2,4.5,48.75,107.7433333,111.0673333,65.863,92.29566667,165.0663333
"168_R2",168,"R2",4.3,4.6,48.55,109.266,114.048,61.06366667,94.85733333,171.8563333
"168_R3",168,"R3",4.3,4.5,46.2,101.909,105.752,58.14,87.07166667,160.5026667
