"Name","Cotyledon_pH","testa_pH","Temperature"
"0_Santander_H1_R1",6.2,3.5,26.5
"0_Santander_H1_R2",6.2,3.5,26.3
"0_Santander_H1_R3",6.1,3.5,26.25
"24_Santander_H1_R1",6.1,3.8,26.2
"24_Santander_H1_R2",6.3,4.1,26.35
"24_Santander_H1_R3",6.2,3.9,26.25
"48_Santander_H1_R1",6.2,3.6,28.65
"48_Santander_H1_R2",6.2,4.2,28.2
"48_Santander_H1_R3",6.2,4.1,28.85
"72_Santander_H1_R1",5.8,4.2,36.35
"72_Santander_H1_R2",6,4.1,35.85
"72_Santander_H1_R3",5.9,4.1,37.3
"96_Santander_H1_R1",5,4.1,38.5
"96_Santander_H1_R2",5.4,4.2,34.7
"96_Santander_H1_R3",5.3,4.2,36.85
"0_Santander_H2_R1",6.2,3.8,24.85
"0_Santander_H2_R2",6.2,3.8,24.45
"0_Santander_H2_R3",6.1,3.7,24.45
"24_Santander_H2_R1",6.2,3.9,24.7
"24_Santander_H2_R2",6,3.6,25.05
"24_Santander_H2_R3",5.8,3.6,25.3
"48_Santander_H2_R1",6,3.6,27.5
"48_Santander_H2_R2",6.1,3.6,28
"48_Santander_H2_R3",6.3,3.6,28.1
"72_Santander_H2_R1",6.3,4.2,33.35
"72_Santander_H2_R2",6.3,4,34.75
"72_Santander_H2_R3",6.3,4.2,36.15
"96_Santander_H2_R1",4.7,3.9,49.35
"96_Santander_H2_R2",4.8,4,38.55
"96_Santander_H2_R3",4.6,4,42.9
"120_Santander_H2_R1",4.6,4.4,47.9
"120_Santander_H2_R2",4.5,4.4,46.7
"120_Santander_H2_R3",4.6,4.4,46.75
"144_Santander_H2_R1",4.1,4.3,47.8
"144_Santander_H2_R2",4.3,4.3,48.3
"144_Santander_H2_R3",4.3,4.3,48.4
"168_Santander_H2_R1",4.2,4.5,48.75
"168_Santander_H2_R2",4.3,4.6,48.55
"168_Santander_H2_R3",4.3,4.5,46.2
