"Factor","Cot_pH","Testa_pH","Temp_mid_box","Temp_top"
"Santander_H1_0_R1",6.2,3.5,27,26
"Santander_H1_0_R2",6.2,3.5,26.4,26.2
"Santander_H1_0_R3",6.1,3.5,26.6,25.9
"Santander_H1_24_R1",6.1,3.8,26.3,26.1
"Santander_H1_24_R2",6.3,4.1,26.5,26.2
"Santander_H1_24_R3",6.2,3.9,26.3,26.2
"Santander_H1_48_R1",6.2,3.6,27.1,30.2
"Santander_H1_48_R2",6.2,4.2,27,29.4
"Santander_H1_48_R3",6.2,4.1,27.3,30.4
"Santander_H1_72_R1",5.8,4.2,36.6,36.1
"Santander_H1_72_R2",6,4.1,36,35.7
"Santander_H1_72_R3",5.9,4.1,37.8,36.8
"Santander_H1_96_R1",5,4.1,36.2,40.8
"Santander_H1_96_R2",5.4,4.2,35.6,33.8
"Santander_H1_96_R3",5.3,4.2,33.9,39.8
"Santander_H2_0_R1",6.2,3.8,24.5,25.2
"Santander_H2_0_R2",6.2,3.8,23.8,25.1
"Santander_H2_0_R3",6.1,3.7,24.1,24.8
"Santander_H2_24_R1",6.2,3.9,24.6,24.8
"Santander_H2_24_R2",6,3.6,24.8,25.3
"Santander_H2_24_R3",5.8,3.6,25.2,25.4
"Santander_H2_48_R1",6,3.6,26.8,28.2
"Santander_H2_48_R2",6.1,3.6,27.1,28.9
"Santander_H2_48_R3",6.3,3.6,27.2,29
"Santander_H2_72_R1",6.3,4.2,32.8,33.9
"Santander_H2_72_R2",6.3,4,33.9,35.6
"Santander_H2_72_R3",6.3,4.2,35.3,37
"Santander_H2_96_R1",4.7,3.9,49.6,49.1
"Santander_H2_96_R2",4.8,4,38,39.1
"Santander_H2_96_R3",4.6,4,38.6,47.2
"Santander_H2_120_R1",4.6,4.4,46.2,49.6
"Santander_H2_120_R2",4.5,4.4,46.1,47.3
"Santander_H2_120_R3",4.6,4.4,46.1,47.4
"Santander_H2_144_R1",4.1,4.3,47.2,48.4
"Santander_H2_144_R2",4.3,4.3,47.3,49.3
"Santander_H2_144_R3",4.3,4.3,47.1,49.7
"Santander_H2_168_R1",4.2,4.5,48.1,49.4
"Santander_H2_168_R2",4.3,4.6,47.3,49.8
"Santander_H2_168_R3",4.3,4.5,44.8,47.6
